feedback_id,app,title,text,topic,rating,timestamp,city_label,area_label,driver_id,trip_id,is_demo_spike
FB-00001,GreenSM,"Doanh nghiệp rất tệ, không xứng đáng để ủng hộ","Doanh nghiệp rất tệ, không xứng đáng để ủng hộ. Tài xế thì đi sai kinh khủng, nhưng luôn cho mình đúng và hành động khiếm nhã. Doanh nghiệp quảng cáo là thân thiện với môi trường và thân thiện với người dùng, nhưng tài xế - đầu mối đầu tiên giao tiếp với người dùng thì không thân thiện chút nào. Doanh nghiệp cũng không có biện pháp nào để bảo vệ người dùng - tất cả những tài xế cá nhân (phần lớn luôn có hành động khiếm nhã) lại không bị doanh nghiệp quản lý; khiến người dùng mất hết niềm tin vào mục tiêu bảo vệ người dùng của doanh nghiệp. Doanh nghiệp chỉ đang tìm cách bảo vệ mỗi chính doanh nghiệp, còn các người dùng - tin tưởng, ủng hộ doanh nghiệp - thì doanh nghiệp không có động thái bảo vệ gì.",Driver Behavior,1,2026-06-06T08:03:27-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0017,TRIP-20260608-00001,TRUE
FB-00002,GreenSM,App lỗi - Nhân viên hỗ trợ ko giải quyết được vấn đề,"App lỗi - Nhân viên hỗ trợ ko giải quyết được vấn đề. 28/5 mình có đặt trước xe để chiều hôm 29 đi, lúc đẩu đặt thì mọi chuyện rất bình thường nhưng 2 tiếng trước thời gian mình đặt mình check lại chuyến trên app thì lại xuất lỗi ""Dịch vụ không khả dụng"", app báo địa điểm mình đặt tới lỗi, đổi địa điểm khác, và dù mình có đổi qua các địa điểm gần đó thì đều báo lỗi tương tự. Lo lắng nên mình có báo lên trung tâm hỗ trợ và gọi điện trực tiếp cho tổng đài. Khi người thứ 1 (bạn nam) chỉ mình xóa app tải lại mình làm theo nhưng lỗi vẫn y chang, và mình lại phải gọi tổng đài lần 2 (bạn nữ). Lần này khi mình kể lại tình trạng mình đang gặp thì bạn nữ đó có vẻ hơi đơ, và hỏi lại mình rất nhiều lần cùng 1 vấn đề và bạn đó cuối cùng đưa ra hướng giải quyết là sẽ đi báo với bộ phận khác để họ hỗ trợ, sau khi xong gọi điện báo lại cho mình, nhưng mình chờ nguyên ngày luôn cũng chả nghe được một cú điện thoại của bạn. Có thể là mình cạch mặt luôn Green SM sau vụ việc trên, giải quyết rất lằng nhà lằng nhằng, để KH đợi với tâm thế lo âu, và lời xin lỗi suông chả biết để làm gì",Safety,1,2026-05-30T08:34:49-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0036,TRIP-20260608-00002,TRUE
FB-00003,GreenSM,Tôi cần lời giải thích hợp lý hơn từ phía công ty,"Tôi cần lời giải thích hợp lý hơn từ phía công ty. Đây là trường hợp lần đầu tiên mình gặp phải khi sử dụng green sm và không hài lòng với cách giải quyết của nv cskh - Mình đặt giao hàng bên Green SM rất nhiều lần và đều để xuất hoá đơn về cho công ty. Bật auto cho các lần tiếp theo - Nay mình có đặt giao hàng 2 lần: 1 lần lúc trưa và 1 lần lúc chiều các thông tin về xuất hoá đơn mình đều không thay đổi. - Nhưng không hiểu app lỗi hay gì mà chỉ xuất hoá đơn về công ty cho mình chuyến lúc trưa, còn chuyến lúc chiều app tự ý xuất hoá đơn về cho cá nhân mình - Mình có phản ánh về trường hợp này cho nv cskh nhưng không nhận được lời giải thích hợp lý - Mình đánh giá đây để phía công ty có thể thấy được phản ánh cụ thể của KH và liên hệ lại cho KH 1 lời giải thích hợp lý hơn. Xin cảm ơn và rất mong có dịp đồng hành cùng Green SM trong các chuyến xe tới",Payment,1,2026-05-27T07:43:48-07:00,Hà Nội,"Đống Đa, Hà Nội",DRV-HN-0013,TRIP-20260608-00003,FALSE
FB-00004,GreenSM,Tài xế đèo khách gây tai nạn ngày 12/5 nhưng không bồi thường,"Tài xế đèo khách gây tai nạn ngày 12/5 nhưng không bồi thường. Tài xế và công ty đều vô trách nhiệm Khách hàng bỏ tiền sử dụng dịch vụ nhưng tài xế đi gây tai nạn làm tôi bị đau chân đi lại khó khăn. Chi phí đi khám là 1.2 triệu nhưng ko bồi thường mà bảo chỉ bồi thường 600k vì gia đình khó khăn Chẳng lẽ tôi là người đau chân tôi lại không khó khăn. Tôi đã chỉ cần bồi thường đủ chi phí đi khám thôi. Vô trách nhiệm, dịch vụ tệ, tài xế đi ẩu. Công ty làm ăn chậm chạp rề rà, khách hàng nhắc mới liên lạc lại. Vô trách nhiệm từ trên xuống dưới. Tôi đã sử dụng dịch vụ của xanh rất nhiều, vì tôi ít khi đi xe máy nhưng sau lần này thì tôi sẽ không bao giờ sử dụng xanh nữa, vô trách nhiệm với khách hàng",Safety,1,2026-05-26T21:18:55-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0348,TRIP-20260608-00004,TRUE
FB-00005,GreenSM,Tài xế vô cùng tệ. App cũng tệ,"Tài xế vô cùng tệ. App cũng tệ. Sáng nay vào lúc 9:06 tôi có đặt 1 chuyến xe đi từ KTX Đại học Y Hà nội về Cổng C5 bến xe Nước Ngầm. Tài xế (29AE-932.**) nhận chuyến. Thời gian đợi đón ước tính ban đầu là 5’ vì tài xế đang ở Đông Tác. Tuy nhiên tài xế đã di chuyển ra phía đường 41 Đông Tác rồi đi ra Trường Chinh gây kéo dài thời gian đón. Khi tôi nhắn tin thắc mắc lý do đón lâu, tài xế có gọi lại trao đổi rằng đang đi ra Tôn Thất Tùng gần đến nơi, và chỉ ít phút sau thì tự động huỷ chuyến. Tôi buộc phải đặt 1 chuyến khác dẫn đến tổng thời gian đặt - chờ - di chuyển ra bến xe mất 40’ và đã lỡ mất chuyến xe. Đây là một hành động vô cùng thiếu chuyên nghiệp của tài xế, gây ra tác động rất lớn đến lịch trình của tôi và khiến tôi bị nhỡ chuyến xe ở bến. Cũng không phải lần đầu tiên, có 1 lần tôi bị như vậy rồi nhưng bỏ qua App cũng không có phần report tài xế và map thì chỉ dẫn đường kém vô cùng.",Driver Behavior,1,2026-05-21T20:37:41-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0246,TRIP-20260608-00005,TRUE
FB-00006,GreenSM,Tài xế hay huỷ chuyến khi đặt đồ ăn,"Tài xế hay huỷ chuyến khi đặt đồ ăn. Dạo này tài xế rất có vấn đề, trc mình hay đặt đồ ăn trên app thì thấy bình thường, giao món nhanh, nhưng dạo gần đây xuất hiện hiện tượng tài xế nhận món rồi huỷ ngay lập tức, không phải 1 2 trường hợp mà rất nhiều trường hợp. Có hôm mình đặt đồ ăn 2 tiếng mà tài xế cứ nhận rồi huỷ liên tục, rất khó chịu. Đề nghị xem xét thêm chức năng tài xế đã nhận chuyến r thì phải giao đến nơi đến chốn, k có chuyện nhận r xong lại cứ thích thì huỷ như vậy đc, cực kỳ gây khó chịu cho khách hàng.",Driver Behavior,1,2026-05-27T22:15:16-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0105,TRIP-20260608-00006,TRUE
FB-00007,GreenSM,APP GÌ VẬY TRỜI,APP GÌ VẬY TRỜI. app như lồn t á má đặt xe thì 10 năm mới có người nhận mà người nhận thì toàn ở xa mà xa còn đi lâu nữa má ??? đã vậy còn bắt cập nhật liên tục nữa là sao má mỗi lần gấp gáp hay trễ giờ mà cần bắt xe là thấy phải cập nhật trời ơi là trời ? ko những vậy mà má ơi đặt xe tài xế còn thái độ nữa má ? map cập nhật sai chỗ thì trách map mắc gì trách khách mà tài xế tới là la khách dằn mặt??? tụi t cũng dùng tiền chứ đâu phải bắt chở đi không công đâu trời? làm ăn kiểu gì vậy mấy cha mấy má,Driver Behavior,1,2026-05-29T02:12:50-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0118,TRIP-20260608-00007,TRUE
FB-00008,GreenSM,Nhận xét,"Nhận xét. Mình đặt đơn đồ ăn 56k từ chiều. Tài xế hư xe nhắn với mình, mình gọi cho bên tổng đài 2 lần để giải quyết thì tổng đài cứ báo chờ là chờ làm sao ạ? Từ chiều tới lúc mình viết phản hồi là 20h37 phút. App vẫn báo tài xế đang lấy đơn? Mình không quan tâm về số tiền. Cái mình không hài lòng ở đây là cách Xanh SM giải quyết vấn đề vô cùng mất thời gian. Nếu cảm thấy không thể giao đơn thì nên liên hệ để hủy hoặc đổi tài xế khác cho mình. Tại sao cứ giải quyết quá lâu như vậy nhỉ?",Driver Behavior,1,2026-05-21T06:42:12-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0272,TRIP-20260608-00008,TRUE
FB-00009,GreenSM,Xuất hoá đơn,"Về việc Book xe giao hàng, lúc trước, sau khi giao nhận hàng thành công 1-2 tiếng sẽ nhận được hoá đơn điện tử qua email cung cấp, bây giờ thì xuất hoá đơn số tiền k khớp với chuyến xe, 1 chuyến xe gửi 2-3 hoá đơn, k đúng ngày, rồi 2 -3 ngày chưa nhận được hoá đơn. Liên hệ tổng đài thì nói là do chuyến xe đó là đối tác nên xuất hoá đơn trễ giải quyết 6-7 ngày, không có phương án giải quyết ngay hỗ trợ khách hàng. Đơn vị làm việc khiến khách hàng rất không hài lòng về dịch vụ",Payment,1,2026-05-20T18:42:26-07:00,Hà Nội,"Long Biên, Hà Nội",DRV-HN-0291,TRIP-20260608-00009,FALSE
FB-00010,GreenSM,Xử lí tài xế Bùi Văn Thành (Số xe 50AB-990.23),"Xử lí tài xế Bùi Văn Thành (Số xe 50AB-990.23). Đề nghị công ty xử lí rõ ràng vụ shipper giao hàng Bùi Văn Thành gây khó dễ khách hàng, không tôn trọng khách. Hiện tại vẫn chưa có hướng xử lí thoả đáng cho nạn nhân, công ty đổ lỗi khách hàng, không chịu trách nhiệm và không giải quyết vấn đề. Đáng lên án và vô cùng thất vọng. Mình khuyên mọi người không sử dụng Xanh vì có khá nhiều vụ Xanh không đứng bên khách hàng, đổ lỗi khách. Rất tệ",Driver Behavior,1,2026-05-27T06:44:24-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0270,TRIP-20260608-00010,TRUE
